Line Segment Data	2569 items	kilometer
L2973167	N1140819	0.068988801	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
E206209	L2897777	0.12455796	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
N1139551	M1026695	0.022589219	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1089115	M1089112	0.091503606	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
Q14404	190-7361	0.004597065	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1047724	M1047722	0.042372467	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
L2876797	R18241	0.049376638	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
E182724	M1069169	0.092995455	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1026785	M1026783	0.029741815	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1089120	M1089119	0.057934318	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
L3179678	L2804249	0.1177636	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1069136	M1069135	0.075176765	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1125994	L2730149	0.022160268	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
L3048206	M1069156	0.059893238	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
L3216370	M1047312	0.10088065	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1047312	N1137960	0.015169217	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
L2936279	L3179678	0.10170662	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1069169	L3010556	0.073355839	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
190-7361	M1089120	0.005820451	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1089119	M1089118	0.078884003	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1047521	D6108141-1_INT	0.020307727	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
L3235256	M1069136	0.034893687	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
L2688693	L2688692	0.039178841	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1047292	L2691954	0.088604518	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1069175	N1139541	0.043586139	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1047309	D6049825-1_INT	0.004571141	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1026774	M1026769	0.11928172	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
L3160107	L3104125	0.10782787	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
N1144665	M1047515	0.02738852	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
N1139547	L2688693	0.085025858	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1026347	M1026341	0.050947837	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
L3235255	M1047316	0.0512085	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
N1139541	D6413567-3_INT	0.014966786	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
N1137960	M1047309	0.02515208	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1047722	L2841621	0.1078712	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1026780	M1026774	0.10707341	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1026702	N1139551	0.12873466	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1026783	M1026780	0.017916335	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
P829965	L2936271	0.027920017	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
L2804249	N1139547	0.071007562	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
N1140819	M1026700	0.026930613	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1047324	L2897780	0.092596774	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
L3197630	L3235256	0.11970471	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
L3011298	M1108295	0.080155934	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1047649	L2973153	0.02410888	3PH_H-4_WPAL4_WPAL4_WPAL1/0_TPX-ABC
L2822866	M1047688	0.032590878	3PH_H-4_WPAL4_WPAL4_WPAL1/0_TPX-ABC
L2691952	M3036170	0.002179793	3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR-ABC
L2952003	M1108381	0.10724762	3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR-ABC
M1009784	M1009770	0.060807616	3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR-ABC
L2973162	M1026333	0.053150629	3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR-ABC
M1047346	M1047345	0.043145742	3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR-ABC
L2898495	L2952003	0.14066211	3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR-ABC
L3104134	M1047346	0.046491295	3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR-ABC
M1069184	M1069175	0.063876516	3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR-ABC
M1009807	M1009805	0.061650857	3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR-ABC
M1026333	M1026331	0.046120846	3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR-ABC
M1026670	M1026662	0.047828905	3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR-ABC
M1047345	L2991922	0.054627261	3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR-ABC
L2991922	M1047339	0.072207928	3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR-ABC
M1026655	M1009651	0.063088666	3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR-ABC
L2673319	M1026658	0.03328692	3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR-ABC
Q14414	L2691952	0.079541892	3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR-ABC
M1026331	M1026330	0.056764184	3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR-ABC
M3036170	M1026670	0.016265057	3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR-ABC
M1026662	L2673319	0.14285375	3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR-ABC
M1026658	M1026655	0.071404206	3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR-ABC
M1009805	M1009784	0.2565009	3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR-ABC
M1069189	M1069184	0.025828657	3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL-ABC
P901945	M1125988	0.00577516	3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL-ABC
M1047699	L2935554	0.080211844	3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL-ABC
L2767340	M3037449	0.001937451	3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL-ABC
M1069135	R18242	0.070990263	3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL-ABC
M1125987	P901945	0.004817317	3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL-ABC
L2989566	M1108378	0.086391936	3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL-ABC
L2973153	N1136998	0.010528536	3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL-ABC
M1108378	M1108379	0.010598569	3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL-ABC
M1089112	L3195356	0.039290988	3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL-ABC
M1047688	M1047699	0.068503439	3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL-ABC
L2935554	M1047713	0.043890133	3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL-ABC
M1026824	M1009807	0.19013104	3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL-ABC
M1125988	L2767340	0.07221755	3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL-ABC
M1026341	L2973162	0.068567464	3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL-ABC
N1136998	M1047669	0.066828063	3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL-ABC
M1047672	L2822866	0.038521621	3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL-ABC
M1047669	M1047672	0.003394598	3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL-ABC
L3195356	M1069189	0.072285373	3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL-ABC
M1108380	L2898495	0.08550545	3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL-ABC
M1108379	M1108380	0.040149925	3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL-ABC
D6023352-1_INT	D6023352-1_INT--E184626	0.001	3PH-CONNECTOR-ABC
D6023352-1_INT--E184626	E184626	0	Switch
D6198039-1_INT	D6198039-1_INT--E206217	0.001	3PH-CONNECTOR-ABC
D6198039-1_INT--E206217	E206217	0	Switch
D5534969-2_INT	D5534969-2_INT--E182729	0.001	3PH-CONNECTOR-ABC
D5534969-2_INT--E182729	E182729	0	Switch
D6049825-1_INT	D6049825-1_INT--E182748	0.001	3PH-CONNECTOR-ABC
D6049825-1_INT--E182748	E182748	0	Switch
D5958866-1_INT	D5958866-1_INT--E183493	0.001	3PH-CONNECTOR-ABC
D5958866-1_INT--E183493	E183493	0	Switch
D5860423-3_INT	D5860423-3_INT--Q14733	0.001	3PH-CONNECTOR-ABC
D5860423-3_INT--Q14733	Q14733	0	Switch
D5513564-1_INT	D5513564-1_INT--E192201	0.001	3PH-CONNECTOR-ABC
D5513564-1_INT--E192201	E192201	0	Switch
D6138608-3_INT	D6138608-3_INT--Q14404	0.001	3PH-CONNECTOR-ABC
D6138608-3_INT--Q14404	Q14404	0	Switch
D5587291-3_INT	D5587291-3_INT--Q14734	0.001	3PH-CONNECTOR-ABC
D5587291-3_INT--Q14734	Q14734	0	Switch
D5535139-1_INT	D5535139-1_INT--E183473	0.001	3PH-CONNECTOR-ABC
D5535139-1_INT--E183473	E183473	0	Switch
D6290228-6_INT	D6290228-6_INT--Q16642	0.001	3PH-CONNECTOR-ABC
D6290228-6_INT--Q16642	Q16642	0	Switch
D6108141-1_INT	D6108141-1_INT--E206209	0.001	3PH-CONNECTOR-ABC
D6108141-1_INT--E206209	E206209	0	Switch
D5534970-1_INT	D5534970-1_INT--E182732	0.001	3PH-CONNECTOR-ABC
D5534970-1_INT--E182732	E182732	0	Switch
D5710794-3_INT	D5710794-3_INT--E192860	0.001	3PH-CONNECTOR-ABC
D5710794-3_INT--E192860	E192860	0	Switch
D5799561-2_INT	D5799561-2_INT--E193509	0.001	3PH-CONNECTOR-ABC
D5799561-2_INT--E193509	E193509	0	Switch
D5861005-2_INT	D5861005-2_INT--Q1301	0.001	3PH-CONNECTOR-ABC
D5861005-2_INT--Q1301	Q1301	0	Switch
D5926308-3_INT	D5926308-3_INT--Q14412	0.001	3PH-CONNECTOR-ABC
D5926308-3_INT--Q14412	Q14412	0	Switch
D5867591-1_INT	D5867591-1_INT--E183472	0.001	3PH-CONNECTOR-ABC
D5867591-1_INT--E183472	E183472	0	Switch
D5563942-4_INT	D5563942-4_INT--Q16483	0.001	3PH-CONNECTOR-ABC
D5563942-4_INT--Q16483	Q16483	0	Switch
D5956499-2_INT	D5956499-2_INT--Q14411	0.001	3PH-CONNECTOR-ABC
D5956499-2_INT--Q14411	Q14411	0	Switch
D5835167-6_INT	D5835167-6_INT--Q14414	0.001	3PH-CONNECTOR-ABC
D5835167-6_INT--Q14414	Q14414	0	Switch
D5502543-2_INT	D5502543-2_INT--Q14413	0.001	3PH-CONNECTOR-ABC
D5502543-2_INT--Q14413	Q14413	0	Switch
D5686080-1_INT	D5686080-1_INT--F739845	0.001	3PH-CONNECTOR-ABC
D5686080-1_INT--F739845	F739845	0	Switch
D5682346-3_INT	D5682346-3_INT--E206211	0.001	3PH-CONNECTOR-ABC
D5682346-3_INT--E206211	E206211	0	Switch
221-311583	N1139250	0.00400896	1P_1/0_AXNJ_DB-A
M1069250	L2690868	0.020555058	1P_1/0_AXNJ_DB-C
L2763811	L2763812	0.10080987	1P_1/0_AXNJ_DB-C
L2915534	193-48013	0.16924944	1P_1/0_AXNJ_DB-A
L3214549	M1108393	0.008001868	1P_1/0_AXNJ_DB-A
M1026661	P827530	0.005074365	1P_1/0_AXNJ_DB-A
221-240991	L3066817	0.20128732	1P_1/0_AXNJ_DB-A
M1108412	L3027670	0.059855182	1P_1/0_AXNJ_DB-B
M1069328	L2763811	0.1919477	1P_1/0_AXNJ_DB-C
M1069248	L2915534	0.25091218	1P_1/0_AXNJ_DB-A
M1108393	193-51796	0.001797129	1P_1/0_AXNJ_DB-A
M3763623	L3645811	0.14305142	1P_1/0_AXNJ_DB-C
L3102286	M1108433	0.039047848	1P_1/0_AXNJ_DB-B
L2897554	193-46661	0.11998911	1P_1/0_AXNJ_DB-C
221-559681	N1140526	0.01327054	1P_1/0_AXNJ_DB-C
L2803194	L3047073	0.088334878	1P_1/0_AXNJ_DB-C
M1108413	M1108460	0.14609518	1P_1/0_AXNJ_DB-A
L3252336	L3233413	0.16973258	1P_1/0_AXNJ_DB-B
L3233412	M1108413	0.017262155	1P_1/0_AXNJ_DB-A
L2916625	L3139598	0.13929305	1P_1/0_AXNJ_DB-B
P1121282	221-559681	0.003095484	1P_1/0_AXNJ_DB-C
P828360	L2729206	0.031497899	1P_1/0_AXNJ_DB-C
L3027670	M1108459	0.14404633	1P_1/0_AXNJ_DB-B
M1108378	P904451	0.007003397	1P_1/0_AXNJ_DB-A
M1108460	L2821087	0.042141579	1P_1/0_AXNJ_DB-A
L3645809	L3645810	0.14764027	1P_1/0_AXNJ_DB-C
M1047613	P828359	0.004524466	1P_1/0_AXNJ_DB-C
M1108459	L2802480	0.082614239	1P_1/0_AXNJ_DB-B
M1047633	L2897554	0.17983472	1P_1/0_AXNJ_DB-C
M1125943	221-703009	0.005203969	1P_1/0_AXNJ_DB-C
L2708744	L2690187	0.095305584	1P_1/0_AXNJ_DB-B
N1138608	L3232301	0.084027016	1P_1/0_AXNJ_DB-C
221-311595	N1139251	0.003862832	1P_1/0_AXNJ_DB-C
M1069249	L2803194	0.059419316	1P_1/0_AXNJ_DB-C
L2766499	M1047633	0.008266058	1P_1/0_AXNJ_DB-C
P904452	221-282818	0.006347379	1P_1/0_AXNJ_DB-B
221-240988	L3141411	0.041081206	1P_1/0_AXNJ_DB-C
P1121283	221-559682	0.003234456	1P_1/0_AXNJ_DB-C
P850400	221-311595	0.007008599	1P_1/0_AXNJ_DB-C
N1139251	M1069249	0.17456014	1P_1/0_AXNJ_DB-C
L2729206	L2729207	0.29308333	1P_1/0_AXNJ_DB-C
L2821087	L2990098	0.098222735	1P_1/0_AXNJ_DB-A
P827530	221-240991	0.006820492	1P_1/0_AXNJ_DB-A
L2763812	L2951995	0.18522105	1P_1/0_AXNJ_DB-C
M1108464	L3102286	0.10745557	1P_1/0_AXNJ_DB-B
P873800	221-306686	0.004789778	1P_1/0_AXNJ_DB-C
L3645811	193-103041	0.005712707	1P_1/0_AXNJ_DB-C
221-306686	L2970258	0.034412551	1P_1/0_AXNJ_DB-C
L3027671	M1108423	0.13373712	1P_1/0_AXNJ_DB-A
P904451	221-282819	0.005501021	1P_1/0_AXNJ_DB-A
M1108433	228-1048090-1_INT	0.13353714	1P_1/0_AXNJ_DB-B
P828359	L2878848	0.17750716	1P_1/0_AXNJ_DB-C
N1230122	L3233412	0.1269857	1P_1/0_AXNJ_DB-A
M1069284	P850401	0.009197184	1P_1/0_AXNJ_DB-A
M1047371	P841985	0.002459781	1P_1/0_AXNJ_DB-B
P841985	221-306687	0.001713755	1P_1/0_AXNJ_DB-B
L3645812	228-1353934-4_INT	0.29687639	1P_1/0_AXNJ_DB-C
N1139250	L2821770	0.13165156	1P_1/0_AXNJ_DB-A
L2990098	M1108462	0.049303938	1P_1/0_AXNJ_DB-A
221-282818	N1230123	0.006488617	1P_1/0_AXNJ_DB-B
L2802480	L3252336	0.080399903	1P_1/0_AXNJ_DB-B
L2821770	M1069247	0.075127946	1P_1/0_AXNJ_DB-A
L2878848	L2766499	0.1444999	1P_1/0_AXNJ_DB-C
M1009655	P827528	0.007086073	1P_1/0_AXNJ_DB-C
M1069312	P873801	0.007044674	1P_1/0_AXNJ_DB-C
L2690187	M1108412	0.089571648	1P_1/0_AXNJ_DB-B
N1230123	L2708744	0.055803273	1P_1/0_AXNJ_DB-B
L2951995	L3101194	0.15136122	1P_1/0_AXNJ_DB-C
P850401	221-311583	0.00417941	1P_1/0_AXNJ_DB-A
M1069312	P873800	0.007335412	1P_1/0_AXNJ_DB-C
L3645810	M3763623	0.009806726	1P_1/0_AXNJ_DB-C
221-703009	L3150961	0.033996062	1P_1/0_AXNJ_DB-C
M1047612	P828360	0.005371644	1P_1/0_AXNJ_DB-C
N1140526	M3763620	0.48658888	1P_1/0_AXNJ_DB-C
L2729207	228-961799-3_INT	0.012192846	1P_1/0_AXNJ_DB-C
M1108423	L2802481	0.041186548	1P_1/0_AXNJ_DB-A
P873801	N1138608	0.007298604	1P_1/0_AXNJ_DB-C
M1069247	M1069248	0.12279504	1P_1/0_AXNJ_DB-A
L2802481	L3214549	0.089013029	1P_1/0_AXNJ_DB-A
L3047073	M1069250	0.21254262	1P_1/0_AXNJ_DB-C
M3763618	P1121282	0.003784151	1P_1/0_AXNJ_DB-C
221-559682	N1140525	0.013350891	1P_1/0_AXNJ_DB-C
L3101194	L2862616	0.22330317	1P_1/0_AXNJ_DB-C
M1108462	L3027671	0.11898371	1P_1/0_AXNJ_DB-A
L3233413	M1108464	0.04632063	1P_1/0_AXNJ_DB-B
M3763624	P1121283	0.009964107	1P_1/0_AXNJ_DB-C
L3232301	M1069328	0.014757318	1P_1/0_AXNJ_DB-C
P827528	221-240988	0.006389569	1P_1/0_AXNJ_DB-C
N1140525	L3645809	0.063894064	1P_1/0_AXNJ_DB-C
L2690868	228-979371-2_INT	0.01146058	1P_1/0_AXNJ_DB-C
M1108380	P904452	0.00654156	1P_1/0_AXNJ_DB-B
M3763620	L3645812	0.044611806	1P_1/0_AXNJ_DB-C
221-282819	N1230122	0.005611066	1P_1/0_AXNJ_DB-A
221-306687	L2916625	0.1329928	1P_1/0_AXNJ_DB-B
M4113348	P850400	0.008298294	1P_1/0_AXNJ_DB-C
M1047521	N1136665	0.011225479	1PH-2/0_ACSRXX2_ACSR-A
N1136665	L2685809	0.029922394	1PH-2/0_ACSRXX2_ACSR-A
M1009715	L3010563	0.051490746	1PH-2_ACSRXX1/0_TPX-A
N1136664	L3085401	0.008133808	1PH-2_ACSRXX1/0_TPX-A
M1047522	N1136664	0.009003641	1PH-2_ACSRXX1/0_TPX-A
N1141479	L3198348	0.010399455	1PH-2_ACSRXX1/0_TPX-A
P895114	N1141479	0.00592496	1PH-2_ACSRXX1/0_TPX-A
M1026361	L3122825	0.018467859	1PH-2_ACSRXX1/0_TPX-A
M1047702	N1137001	0.042663027	1PH-2_ACSRXX2_ACSR-A
N1142108	L2674051	0.073678618	1PH-2_ACSRXX2_ACSR-A
M1026344	M1026364	0.29464985	1PH-2_ACSRXX2_ACSR-A
P1164481	L3729297	0.053070685	1PH-2_ACSRXX2_ACSR-A
M1010004	M1010003	0.016763698	1PH-2_ACSRXX2_ACSR-A
L2673312	L3235247	0.16625327	1PH-2_ACSRXX2_ACSR-A
M1010011	L3120504	0.08199036	1PH-2_ACSRXX2_ACSR-A
M1026880	L2766748	0.034564116	1PH-2_ACSRXX2_ACSR-A
L2860504	L2860493	0.20838125	1PH-2_ACSRXX2_ACSR-A
M1010016	M1010015	0.081381389	1PH-2_ACSRXX2_ACSR-A
M3949157	L3727709	0.063068035	1PH-2_ACSRXX2_ACSR-A
L3728038	L3728039	0.079108815	1PH-2_ACSRXX2_ACSR-A
N1134469	M1010017	0.32062563	1PH-2_ACSRXX2_ACSR-A
N1139549	L2879074	0.043956001	1PH-2_ACSRXX2_ACSR-A
L2858175	M1027110	0.004622844	1PH-2_ACSRXX2_ACSR-A
L3066816	M1026667	0.12146238	1PH-2_ACSRXX2_ACSR-A
M1126005	L3011229	0.080523276	1PH-2_ACSRXX2_ACSR-A
M1089144	P827522	0.002591741	1PH-2_ACSRXX2_ACSR-A
P860847	M1026880	0.075869321	1PH-2_ACSRXX2_ACSR-A
L2748143	L3251854	0.067056078	1PH-2_ACSRXX2_ACSR-A
M1047729	L2973150	0.0732292	1PH-2_ACSRXX2_ACSR-A
N1139264	M1069465	0.046722181	1PH-2_ACSRXX2_ACSR-A
L3122820	L3141398	0.059408725	1PH-2_ACSRXX2_ACSR-A
M1047342	L3197645	0.073698058	1PH-2_ACSRXX2_ACSR-A
M1069192	L3235253	0.081541574	1PH-2_ACSRXX2_ACSR-A
M1026658	L3172805	0.10668036	1PH-2_ACSRXX2_ACSR-A
M1026333	N1145955	0.013770656	1PH-2_ACSRXX2_ACSR-A
N1137002	M1047707	0.092480965	1PH-2_ACSRXX2_ACSR-A
L3649301	L3649302	0.063060497	1PH-2_ACSRXX2_ACSR-A
M1069465	L3010561	0.076022985	1PH-2_ACSRXX2_ACSR-A
M1047326	M1047338	0.10232738	1PH-2_ACSRXX2_ACSR-A
M1026648	L2973159	0.096889144	1PH-2_ACSRXX2_ACSR-A
M1010004	L3177894	0.24932625	1PH-2_ACSRXX2_ACSR-A
L3027133	M3037453	0.060312235	1PH-2_ACSRXX2_ACSR-A
M1069155	L3085395	0.055071969	1PH-2_ACSRXX2_ACSR-A
M1026701	P827560	0.005165307	1PH-2_ACSRXX2_ACSR-A
M1108489	M1108492	0.024583869	1PH-2_ACSRXX2_ACSR-A
N1136999	M1047671	0.008815674	1PH-2_ACSRXX2_ACSR-A
M1026826	M1026820	0.060462688	1PH-2_ACSRXX2_ACSR-A
M1027091	M1027092	0.027593481	1PH-2_ACSRXX2_ACSR-A
M1069524	L2820533	0.060959662	1PH-2_ACSRXX2_ACSR-A
M1010003	L2989571	0.05943601	1PH-2_ACSRXX2_ACSR-A
M3949157	L3727711	0.049067803	1PH-2_ACSRXX2_ACSR-A
M1069467	M1069466	0.015739623	1PH-2_ACSRXX2_ACSR-A
M1047707	L3159645	0.002342158	1PH-2_ACSRXX2_ACSR-A
M1026931	L3216337	0.056331403	1PH-2_ACSRXX2_ACSR-A
N1142110	L2673316	0.008920033	1PH-2_ACSRXX2_ACSR-A
M1010013	L3120503	0.0548288	1PH-2_ACSRXX2_ACSR-A
M1026347	N1145956	0.010132799	1PH-2_ACSRXX2_ACSR-A
L3177894	L3082993	0.092049054	1PH-2_ACSRXX2_ACSR-A
M1026767	L3029500	0.14786578	1PH-2_ACSRXX2_ACSR-A
M1026732	M1026734	0.06746452	1PH-2_ACSRXX2_ACSR-A
L3226771	L3189190	0.16187784	1PH-2_ACSRXX2_ACSR-A
P827532	M1047326	0.007292708	1PH-2_ACSRXX2_ACSR-A
M1010014	M1010011	0.058453405	1PH-2_ACSRXX2_ACSR-A
L2673316	M1089138	0.053415827	1PH-2_ACSRXX2_ACSR-A
M1027114	L2876812	0.062386827	1PH-2_ACSRXX2_ACSR-A
M1010017	L2858175	0.085417641	1PH-2_ACSRXX2_ACSR-A
M1026874	L3197638	0.10408338	1PH-2_ACSRXX2_ACSR-A
M3037453	L2785546	0.003422117	1PH-2_ACSRXX2_ACSR-A
M1047702	N1137002	0.018939349	1PH-2_ACSRXX2_ACSR-A
M1108483	N1142098	0.006725823	1PH-2_ACSRXX2_ACSR-A
L3010563	L2841623	0.061529144	1PH-2_ACSRXX2_ACSR-A
L2991908	L3178973	0.10082806	1PH-2_ACSRXX2_ACSR-A
L2804283	L2916627	0.13449534	1PH-2_ACSRXX2_ACSR-A
L3141389	L2860477	0.075870601	1PH-2_ACSRXX2_ACSR-A
M1047340	M1047342	0.097677792	1PH-2_ACSRXX2_ACSR-A
L2822868	L2766723	0.058829274	1PH-2_ACSRXX2_ACSR-A
P859135	M1047702	0.006788703	1PH-2_ACSRXX2_ACSR-A
M1047671	L2710511	0.060866742	1PH-2_ACSRXX2_ACSR-A
L3649299	M3772794	0.003878988	1PH-2_ACSRXX2_ACSR-A
M1089204	L3010557	0.043921386	1PH-2_ACSRXX2_ACSR-A
M3949154	L3728042	0.073204155	1PH-2_ACSRXX2_ACSR-A
M1026779	L2973169	0.091378506	1PH-2_ACSRXX2_ACSR-A
M1027100	L3140238	0.070103707	1PH-2_ACSRXX2_ACSR-A
M1026902	N1147864	0.010573952	1PH-2_ACSRXX2_ACSR-A
M1047322	L3048211	0.074349272	1PH-2_ACSRXX2_ACSR-A
N1147862	L2685805	0.089366154	1PH-2_ACSRXX2_ACSR-A
P829797	M1108483	0.005836428	1PH-2_ACSRXX2_ACSR-A
M1026848	L2935557	0.060007189	1PH-2_ACSRXX2_ACSR-A
M3768670	P1123251	0.00446956	1PH-2_ACSRXX2_ACSR-A
M1010011	M1010008	0.081076414	1PH-2_ACSRXX2_ACSR-A
M1142811	L2992657	0.051541344	1PH-2_ACSRXX2_ACSR-A
M1026777	L3233353	0.061621051	1PH-2_ACSRXX2_ACSR-A
N1142101	L2936214	0.036947217	1PH-2_ACSRXX2_ACSR-A
M1010016	L3251807	0.14131893	1PH-2_ACSRXX2_ACSR-A
M1125904	N1142108	0.014662531	1PH-2_ACSRXX2_ACSR-A
M3772794	L3649306	0.073860339	1PH-2_ACSRXX2_ACSR-A
M3772794	L3649300	0.060965141	1PH-2_ACSRXX2_ACSR-A
L2879081	M1026682	0.056227432	1PH-2_ACSRXX2_ACSR-A
M1047534	N1136660	0.009934942	1PH-2_ACSRXX2_ACSR-A
M1047434	M1047435	0.083867737	1PH-2_ACSRXX2_ACSR-A
N1136660	L3010568	0.039615111	1PH-2_ACSRXX2_ACSR-A
M1126020	L3101782	0.075690648	1PH-2_ACSRXX2_ACSR-A
M1108534	P901934	0.00636407	1PH-2_ACSRXX2_ACSR-A
L3727707	L3727708	0.055078348	1PH-2_ACSRXX2_ACSR-A
M1047325	P827532	0.009630813	1PH-2_ACSRXX2_ACSR-A
L3159645	L2983432	0.095193722	1PH-2_ACSRXX2_ACSR-A
M1009720	L3178982	0.097334747	1PH-2_ACSRXX2_ACSR-A
N1140824	L3226771	0.19921664	1PH-2_ACSRXX2_ACSR-A
M1026682	L3066816	0.091915297	1PH-2_ACSRXX2_ACSR-A
M1125944	P901941	0.008763735	1PH-2_ACSRXX2_ACSR-A
N1147866	M1026713	0.03143069	1PH-2_ACSRXX2_ACSR-A
L3649304	L3649305	0.067087602	1PH-2_ACSRXX2_ACSR-A
L3178976	M1026779	0.090567079	1PH-2_ACSRXX2_ACSR-A
M1047433	M1047434	0.091470025	1PH-2_ACSRXX2_ACSR-A
L2860493	L3085403	0.087609574	1PH-2_ACSRXX2_ACSR-A
L3727709	L3727710	0.072296842	1PH-2_ACSRXX2_ACSR-A
L3178971	L2879067	0.039810577	1PH-2_ACSRXX2_ACSR-A
M1026877	L2729413	0.12258547	1PH-2_ACSRXX2_ACSR-A
M1026823	L2879087	0.065264961	1PH-2_ACSRXX2_ACSR-A
L2729429	L3197647	0.11841885	1PH-2_ACSRXX2_ACSR-A
M1108484	P829797	0.008841709	1PH-2_ACSRXX2_ACSR-A
L2785530	L2822868	0.11547586	1PH-2_ACSRXX2_ACSR-A
M1026849	M1026848	0.001182026	1PH-2_ACSRXX2_ACSR-A
M3037453	M1026812	0.006847824	1PH-2_ACSRXX2_ACSR-A
